,comb,mol1,mol2,confidence
19350,comb19351,ZINC000059029793,ZINC000000967534,0.9846810464121857
19012,comb19013,ZINC000008034701,ZINC000000967534,0.9816138747744625
19267,comb19268,ZINC000057677596,ZINC000000967534,0.9816138747744625
19183,comb19184,ZINC000038147440,ZINC000000967534,0.9816138747744625
22124,comb22125,ZINC000000967534,ZINC000006920393,0.9782592051116346
15372,comb15373,ZINC000001717025,ZINC000000967534,0.9638201077328649
22108,comb22109,ZINC000000967534,ZINC000004521424,0.9585081422888575
4417,comb4418,ZINC000064624955,ZINC000000967534,0.9563092873612842
6463,comb6464,ZINC000100074301,ZINC000000967534,0.9557367805701983
6282,comb6283,ZINC000100074293,ZINC000000967534,0.9524341494803975
22097,comb22098,ZINC000000967534,ZINC000001674476,0.9516331365480142
22122,comb22123,ZINC000000967534,ZINC000001580750,0.9509886149887533
5917,comb5918,ZINC000100074226,ZINC000000967534,0.945948654894049
19349,comb19350,ZINC000059029793,ZINC000000896527,0.9450438562343791
22087,comb22088,ZINC000000896527,ZINC000006920393,0.9446429292806587
19011,comb19012,ZINC000008034701,ZINC000000896527,0.944568500632617
19182,comb19183,ZINC000038147440,ZINC000000896527,0.944568500632617
19266,comb19267,ZINC000057677596,ZINC000000896527,0.944568500632617
22102,comb22103,ZINC000000967534,ZINC000002167088,0.9435325697961898
22096,comb22097,ZINC000000967534,ZINC000001646307,0.940936790886441
19513,comb19514,ZINC000064858311,ZINC000000967534,0.9398314211404393
16867,comb16868,ZINC000002510896,ZINC000000967534,0.9398101342480832
6100,comb6101,ZINC000100074278,ZINC000000967534,0.9381336900378471
4608,comb4609,ZINC000064624956,ZINC000000967534,0.9380850908903056
22114,comb22115,ZINC000000967534,ZINC000001656970,0.9369964069630631
4798,comb4799,ZINC000064624958,ZINC000000967534,0.9365869419364087
4032,comb4033,ZINC000064624846,ZINC000000967534,0.9363700107030876
22095,comb22096,ZINC000000967534,ZINC000001615335,0.9360940800552047
21157,comb21158,ZINC000001687816,ZINC000000967534,0.9337559126331088
22092,comb22093,ZINC000000967534,ZINC000001562134,0.9332881112635508
22071,comb22072,ZINC000000896527,ZINC000004521424,0.9331783230902488
19351,comb19352,ZINC000059029793,ZINC000000967759,0.9314247098753907
15371,comb15372,ZINC000001717025,ZINC000000896527,0.9311573959330528
19013,comb19014,ZINC000008034701,ZINC000000967759,0.9287420877262559
19268,comb19269,ZINC000057677596,ZINC000000967759,0.9287420877262559
19184,comb19185,ZINC000038147440,ZINC000000967759,0.9287420877262559
18658,comb18659,ZINC000004769055,ZINC000000967534,0.927690156276265
4225,comb4226,ZINC000064624950,ZINC000000967534,0.9274897158975386
19153,comb19154,ZINC000038147440,ZINC000000900729,0.9273304420884029
19237,comb19238,ZINC000057677596,ZINC000000900729,0.9273304420884029
18982,comb18983,ZINC000008034701,ZINC000000900729,0.9273304420884029
19320,comb19321,ZINC000059029793,ZINC000000900729,0.9269301528895019
20579,comb20580,ZINC000000900729,ZINC000006920393,0.926885063076095
22060,comb22061,ZINC000000896527,ZINC000001674476,0.9262514575762564
22115,comb22116,ZINC000000967534,ZINC000001668172,0.9260007540014533
22160,comb22161,ZINC000000967759,ZINC000006920393,0.9255615308781504
19672,comb19673,ZINC000070667148,ZINC000000967534,0.9246271001550936
22085,comb22086,ZINC000000896527,ZINC000001580750,0.9240615650931866
6462,comb6463,ZINC000100074301,ZINC000000896527,0.9219154085786827
6281,comb6282,ZINC000100074293,ZINC000000896527,0.9217338606150611
4416,comb4417,ZINC000064624955,ZINC000000896527,0.9206712086509363
20563,comb20564,ZINC000000900729,ZINC000004521424,0.920297648125214
22065,comb22066,ZINC000000896527,ZINC000002167088,0.918275931117855
22059,comb22060,ZINC000000896527,ZINC000001646307,0.9175523258797263
3838,comb3839,ZINC000064622643,ZINC000000967534,0.9174671683575587
15373,comb15374,ZINC000001717025,ZINC000000967759,0.9172159257934219
2452,comb2453,ZINC000002143278,ZINC000000967534,0.9160899551194832
22077,comb22078,ZINC000000896527,ZINC000001656970,0.9142209380040192
19024,comb19025,ZINC000008034701,ZINC000001699878,0.9141139962536807
19279,comb19280,ZINC000057677596,ZINC000001699878,0.9141139962536807
19195,comb19196,ZINC000038147440,ZINC000001699878,0.9141139962536807
19432,comb19433,ZINC000064622647,ZINC000000967534,0.9140875747469339
22058,comb22059,ZINC000000896527,ZINC000001615335,0.9139589015141547
20552,comb20553,ZINC000000900729,ZINC000001674476,0.9133328080040368
15342,comb15343,ZINC000001717025,ZINC000000900729,0.9129377563595991
22144,comb22145,ZINC000000967759,ZINC000004521424,0.9111913467872566
22490,comb22491,ZINC000001699878,ZINC000006920393,0.9109453437809002
22055,comb22056,ZINC000000896527,ZINC000001562134,0.9104194435067611
19362,comb19363,ZINC000059029793,ZINC000001699878,0.9102451478733373
16866,comb16867,ZINC000002510896,ZINC000000896527,0.9097667531479052
22094,comb22095,ZINC000000967534,ZINC000001615334,0.9095282389870463
6283,comb6284,ZINC000100074293,ZINC000000967759,0.909467281331864
19512,comb19513,ZINC000064858311,ZINC000000896527,0.909362566686243
22104,comb22105,ZINC000000967534,ZINC000002810011,0.9092953240877072
20577,comb20578,ZINC000000900729,ZINC000001580750,0.9091785624222286
6464,comb6465,ZINC000100074301,ZINC000000967759,0.9089634364359133
6099,comb6100,ZINC000100074278,ZINC000000896527,0.9085430999922074
5916,comb5917,ZINC000100074226,ZINC000000896527,0.9073063054681534
9873,comb9874,ZINC000001562131,ZINC000000967534,0.9069896043543199
22113,comb22114,ZINC000000967534,ZINC000001654295,0.9068392932621492
19353,comb19354,ZINC000059029793,ZINC000000968282,0.9068305674244709
16537,comb16538,ZINC000002168369,ZINC000000967534,0.9063633107858747
4031,comb4032,ZINC000064624846,ZINC000000896527,0.9063517048614416
