,comb,mol1,mol2,confidence
19350,comb19351,ZINC000059029793,ZINC000000967534,0.9917630650334404
5917,comb5918,ZINC000100074226,ZINC000000967534,0.988850342280779
19012,comb19013,ZINC000008034701,ZINC000000967534,0.9873386243709112
19183,comb19184,ZINC000038147440,ZINC000000967534,0.9873386243709112
19267,comb19268,ZINC000057677596,ZINC000000967534,0.9873386243709112
15372,comb15373,ZINC000001717025,ZINC000000967534,0.9855803270136109
5548,comb5549,ZINC000087515584,ZINC000000967534,0.9854370051780866
16867,comb16868,ZINC000002510896,ZINC000000967534,0.9846674037879147
5733,comb5734,ZINC000087515592,ZINC000000967534,0.9844295720548678
6643,comb6644,ZINC000197382366,ZINC000000967534,0.9844295720548678
22124,comb22125,ZINC000000967534,ZINC000006920393,0.9802977715466212
4417,comb4418,ZINC000064624955,ZINC000000967534,0.9729173085228857
6463,comb6464,ZINC000100074301,ZINC000000967534,0.9671257307701783
22108,comb22109,ZINC000000967534,ZINC000004521424,0.9622315907918423
21157,comb21158,ZINC000001687816,ZINC000000967534,0.940578897686792
22097,comb22098,ZINC000000967534,ZINC000001674476,0.9341524673261442
6282,comb6283,ZINC000100074293,ZINC000000967534,0.9220087848616927
4225,comb4226,ZINC000064624950,ZINC000000967534,0.9153265679030459
4798,comb4799,ZINC000064624958,ZINC000000967534,0.9083650198070078
22115,comb22116,ZINC000000967534,ZINC000001668172,0.9077852510412275
19513,comb19514,ZINC000064858311,ZINC000000967534,0.8975742749706318
9712,comb9713,ZINC000001530975,ZINC000000967534,0.8849429721133195
22123,comb22124,ZINC000000967534,ZINC000085548520,0.8773402772560079
4608,comb4609,ZINC000064624956,ZINC000000967534,0.8749742517629323
22122,comb22123,ZINC000000967534,ZINC000001580750,0.8709596081812292
22096,comb22097,ZINC000000967534,ZINC000001646307,0.8675331139914734
21807,comb21808,ZINC000169747359,ZINC000000967534,0.8650294825904163
22102,comb22103,ZINC000000967534,ZINC000002167088,0.8627401195235126
15250,comb15251,ZINC000001706229,ZINC000000967534,0.8293770733166143
22114,comb22115,ZINC000000967534,ZINC000001656970,0.826404901609894
4032,comb4033,ZINC000064624846,ZINC000000967534,0.8097796320079459
6100,comb6101,ZINC000100074278,ZINC000000967534,0.8089822830543822
4987,comb4988,ZINC000064624959,ZINC000000967534,0.7918871566172686
18658,comb18659,ZINC000004769055,ZINC000000967534,0.7796767255068672
3838,comb3839,ZINC000064622643,ZINC000000967534,0.7516795696191396
